District_Name,Commune,historical_1980,rcp4p5_ESM1M,rcp4p5_GEM1M,rcp4p5_CM5A_LR,rcp4p5_MIROC_ESM,rcp8p5_ESM1M,rcp8p5_GEM1M,rcp8p5_CM5A_LR,rcp8p5_MIROC_ESM
Jawa Barat,Kota Banjar,756.2664814,756.2664814,0,756.2664814,756.2664814,756.2664814,0,808.3257923,756.2664814
Kalimantan Selatan,Kota Banjar Baru,0,0,0,0,0,0,0,0,0
Kalimantan Selatan,Kota Banjarmasin,183.716301,183.716301,183.716301,183.716301,183.716301,183.716301,183.716301,281.2917557,183.716301
Kalimantan Selatan,Kota Baru,380.756958,339.7774429,339.7774429,339.7774429,339.7774429,339.7774429,339.7774429,404.9185143,339.7774429
Kepulauan Riau,Kota Batam,1391.007286,135.0021973,1391.007286,1391.007286,1391.007286,1391.007286,1391.007286,1391.007286,1391.007286
Jawa Timur,Kota Batu,0,0,0,0,0,0,0,0,0
Sulawesi Tenggara,Kota Baubau,521.0534897,521.0534897,521.0534897,521.0534897,521.0534897,521.0534897,0,521.0534897,521.0534897
Jawa Barat,Kota Bekasi,0,0,0,0,0,0,0,0,0
Bengkulu,Kota Bengkulu,1168.739487,1168.739487,1168.739487,1168.739487,1168.739487,1168.739487,1168.739487,1385.241093,1168.739487
Nusa Tenggara Barat,Kota Bima,0,0,0,0,0,0,0,0,0
Sumatera Utara,Kota Binjai,501.7503357,501.7503357,501.7503357,501.7503357,501.7503357,501.7503357,501.7503357,501.7503357,501.7503357
Sulawesi Utara,Kota Bitung,529.8923454,529.8923454,529.8923454,529.8923454,529.8923454,529.8923454,529.8923454,529.8923454,529.8923454
Jawa Timur,Kota Blitar,0,0,0,0,0,0,0,0,0
Jawa Barat,Kota Bogor,0,0,0,0,0,0,0,0,0
Kalimantan Timur,Kota Bontang,262.7798195,262.7798195,262.7798195,262.7798195,262.7798195,262.7798195,262.7798195,262.7798195,262.7798195
Sumatera Barat,Kota Bukittinggi,0,0,0,0,0,0,0,0,0
Banten,Kota Cilegon,43.71626663,43.71626663,43.71626663,43.71626663,43.71626663,43.71626663,43.71626663,43.71626663,43.71626663
Jawa Barat,Kota Cimahi,0,0,0,0,0,0,0,0,0
Jawa Barat,Kota Cirebon,3226.776756,3337.303345,3226.776756,3337.303345,3226.776756,3337.303345,3226.776756,3337.303345,3226.776756
Bali,Kota Denpasar,0,0,0,0,0,0,0,0,0
